"#","names","directories","types","file_extensions","sizes_in_bytes","CRC-32"
1,"BaculitesAffUedae_20190209_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3318573,"29084b5e"
2,"BaculitesAffUedae_20190209_1c.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3343658,"76188661"
3,"InoceramusElegans_20190121_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3318784,"31d30af1"
4,"LinuparusSp_20190201_3a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3418743,"3073c515"
5,"TetragonitesGlabrus_NanonavisSachalinensis_20190208_1b.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3298951,"6984bdcf"
6,"LinuparusSp_20190201_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3313329,"3cea3fb"
7,"Aptychus_20190126_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3337377,"7819faab"
8,"LinuparusSp_20190128_2a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3270465,"31c11f0"
9,"YSCollection_footer.md","YSCollection07_18-IMG_02_v2.0","file",".md",765,"c420381c"
10,"InoceramusAffOrientalisOrientalis_20190124_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3347637,"af68d9b8"
11,"InoceramusNaumanni_20190124_2a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3415239,"3a66fe0e"
12,"Aptychus_20190126_2a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3346919,"b8305ce"
13,"LinuparusSp_20190128_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3329326,"9f458bfe"
14,"TetragonitesGlabrus_20190208_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3396342,"76bade1"
15,"InoceramusNaumanni_20190124_3a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3333886,"ff82eb2d"
16,"HyphantocerasOrientale_20190208_1b.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3330570,"52956880"
17,"BaculitesAffUedae_20190209_1b.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3388125,"7d6d1699"
18,"README.md","YSCollection07_18-IMG_02_v2.0","file",".md",938,"7a271db4"
19,"InoceramusNaumanni_20190124_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3308284,"b18bab04"
20,"LICENSE","YSCollection07_18-IMG_02_v2.0","file","",1066,"c785a9b9"
21,"TetragonitesGlabrus_NanonavisSachalinensis_20190208_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3292296,"509c032c"
22,"HyphantocerasOrientale_20190208_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3399517,"af95fbf"
23,"InoceramusEzoensis_20190121_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3316041,"7c3d3f79"
24,"ZelanditesSp_20190214_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3312159,"ebff768"
25,"DamesitesSugata_20190209_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3216753,"3e4b2b2"
26,"LinuparusSp_20190201_2a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3280389,"114e5a76"
27,"TetragonitesGlabrus_NanonavisSachalinensis_20190208_1c.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3246741,"f98cfa1"
28,"TetragonitesGlabrus_20190208_1b.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3309036,"3a391ab8"
29,"AffNanonavisSp_20190120_1a.JPG","YSCollection07_18-IMG_02_v2.0","file",".JPG",3349983,"dc576579"
