"#","names","directories","types","file_extensions","sizes_in_bytes","CRC-32"
1,"CellanaToreuma_20221111_3b.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3308477,"d18db561"
2,"CapulusSp_20221118_2a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3297075,"3fa1f37d"
3,"CellanaToreuma_20221111_2a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3336347,"2a0720e0"
4,"CellanaToreuma_20221111_2b.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3338275,"b15961f5"
5,"CellanaToreuma_20221111_4a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3329653,"b5191040"
6,"CellanaToreuma_20221111_3a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3350165,"fc5c18aa"
7,"CapulusCassidarius_20221113_2a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3324408,"e09da744"
8,"CapulusCassidarius_20221113_1a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3289214,"d67d5a34"
9,"CapulusSp_20221113_1a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3274407,"7ce9f591"
10,"YSCollection_footer.md","YSCollection07_18-IMG_05_v1.0","file",".md",765,"c420381c"
11,"CellanaToreuma_20221111_1b.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3313522,"1b7b6ded"
12,"CapulusSp_20221118_1a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3263342,"298785a7"
13,"CapulusCassidarius_20221113_3a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3305125,"181ff526"
14,"README.md","YSCollection07_18-IMG_05_v1.0","file",".md",938,"e4438817"
15,"LICENSE","YSCollection07_18-IMG_05_v1.0","file","",1066,"c785a9b9"
16,"CapulusCassidarius_20221113_4a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3289137,"8fcb5ca9"
17,"CellanaToreuma_20221111_1a.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3318573,"6aa465e4"
18,"CellanaToreuma_20221111_4b.JPG","YSCollection07_18-IMG_05_v1.0","file",".JPG",3304501,"642629a9"
